SectorName,SectorName_labelled,income_group,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc,SectorName_short,SectorName_short_detail
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not low,Not outsourced,171,194.24983992355965,27592.962928989138,26619.278949152053,207,237.94467365475933,81.63655733071893,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not low,Outsourced,36,43.69483373119967,25302.85515873016,23646.58159161933,207,237.94467365475933,18.36344266928107,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Low,Not outsourced,200,220.02214144419912,11081.462448571428,10818.868609663383,240,271.720386813922,80.97373333818835,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Low,Outsourced,40,51.698245369722855,11666.975035714286,11053.601758126568,240,271.720386813922,19.026266661811633,Accommodation and food service activities,NA
2,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,Not low,Not outsourced,4,3.648241099552856,31750,32367.31545407917,4,3.648241099552856,100,Activities of extraterritorial organisations and bodies,NA
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Not low,Not outsourced,7,7.99782287922183,27013.14285714286,25802.565686520295,9,9.386397181810679,85.20652519073366,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Not low,Outsourced,2,1.3885743025888484,23690.85,24184.556865990875,9,9.386397181810679,14.793474809266339,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Low,Not outsourced,9,12.902788891339691,9226.247619047619,9188.614285566367,17,25.191283128519267,51.219260350943905,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Low,Outsourced,8,12.288494237179576,9004.970357142858,7990.484789902242,17,25.191283128519267,48.780739649056095,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Not low,Not outsourced,135,148.93291554667073,30202.370601058203,29914.92502461826,190,213.21591383454034,69.85075028791967,Administrative and support service activities,NA
