SectorName,SectorName_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc,SectorName_short,SectorName_short_detail
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not outsourced,433,497.2780718728653,26580.877942122188,23814.491412482355,526,611.9489541493541,81.26136477577803,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Outsourced,93,114.67088227648874,73538.45538461539,46561.011939905184,526,611.9489541493541,18.738635224221955,Accommodation and food service activities,NA
2,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,Not outsourced,4,3.648241099552856,31750,32367.31545407917,4,3.648241099552856,100,Activities of extraterritorial organisations and bodies,NA
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Not outsourced,20,26.385296029939052,62300.307692307695,57350.92109910538,31,41.00430628186396,64.34762204868507,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Outsourced,11,14.619010251924912,23417.085714285713,21162.33521282426,31,41.00430628186396,35.65237795131493,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Not outsourced,212,233.15660890340945,36632.58805194805,34008.228435298624,308,340.72306955601584,68.42994494245063,Administrative and support service activities,NA
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Outsourced,96,107.56646065260637,29112.536,25773.634153526174,308,340.72306955601584,31.57005505754935,Administrative and support service activities,NA
5,"AGRICULTURE, FORESTRY AND FISHING",Not outsourced,27,35.69527321861084,53100.470588235294,36423.88377750874,32,39.53376799571024,90.29059214007653,"Agriculture, forestry and fishing",NA
5,"AGRICULTURE, FORESTRY AND FISHING",Outsourced,5,3.8384947770993985,25044.533333333333,25767.70237502729,32,39.53376799571024,9.709407859923468,"Agriculture, forestry and fishing",NA
6,"ARTS, ENTERTAINMENT AND RECREATION",Not outsourced,155,152.48912571903364,28619.288099173555,26930.439607343433,180,179.93891429356404,84.74494042475602,"Arts, entertainment and recreation",NA
6,"ARTS, ENTERTAINMENT AND RECREATION",Outsourced,25,27.44978857453041,23354.444444444445,21607.352578331444,180,179.93891429356404,15.255059575243985,"Arts, entertainment and recreation",NA
7,CONSTRUCTION,Not outsourced,265,272.1058385089519,58701.181818181816,57729.29624746161,340,342.6563496966792,79.41070951985016,Construction,NA
7,CONSTRUCTION,Outsourced,75,70.55051118772731,75763.5,79257.70387574934,340,342.6563496966792,20.58929048014984,Construction,NA
8,EDUCATION,Not outsourced,1021,928.9293465797407,42571.182471264365,42664.00296065479,1162,1068.5397725404036,86.93446612391922,Education,NA
8,EDUCATION,Outsourced,141,139.61042596066295,60133.891627906974,66203.95042333553,1162,1068.5397725404036,13.065533876080778,Education,NA
9,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",Not outsourced,102,102.35112441318795,72223.575,84854.37079706926,124,124.83097687187139,81.9917675708353,"Electricity, gas, steam and air conditioning supply",NA
9,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",Outsourced,22,22.47985245868344,90854.4705882353,73130.20003537885,124,124.83097687187139,18.008232429164707,"Electricity, gas, steam and air conditioning supply",NA
