SectorName,SectorName_labelled,income_group,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc,SectorName_short,SectorName_short_detail
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not low,Not outsourced,123,131.89089025992288,50537.37614678899,44018.84484289156,147,155.15981009381386,85.00325579167573,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not low,Outsourced,19,17.882755799934685,218585.11111111112,155993.66765182046,147,155.15981009381386,11.525378762143548,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not low,Likely agency,3,3.847010397806244,27920,27553.641426293005,147,155.15981009381386,2.479385863826616,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not low,High indicators,2,1.5391536361500577,130000,130000,147,155.15981009381386,0.9919795823541182,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Low,Not outsourced,258,291.6784262069015,13653.856633663367,13648.617780588213,315,367.8676593113906,79.28895591226821,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Low,Outsourced,36,49.63877488274638,14904.364444444445,14471.5125895591,315,367.8676593113906,13.493650128327381,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Low,Likely agency,12,16.929960658799992,12198.862222222222,12855.85402558396,315,367.8676593113906,4.602187833116695,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Low,High indicators,9,9.620497562942678,17071.428571428572,17075.9443629727,315,367.8676593113906,2.615206126287707,Accommodation and food service activities,NA
2,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,Not low,Not outsourced,3,2.83308899634593,34500,34918.66871248889,3,2.83308899634593,100,Activities of extraterritorial organisations and bodies,NA
2,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,Low,Not outsourced,1,0.8151521032069263,23500,23500,1,0.8151521032069263,100,Activities of extraterritorial organisations and bodies,NA
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Not low,Not outsourced,7,7.393140683844918,121136.66666666667,123969.10389998209,9,9.105696820209268,81.19247576348593,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Not low,Outsourced,1,0.941941712156489,96000,96000,9,9.105696820209268,10.344531898601488,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Not low,High indicators,1,0.7706144242078602,NA,NA,9,9.105696820209268,8.462992337912585,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Low,Not outsourced,11,15.795821357253033,11869.142857142857,10835.063006478156,20,28.702275472813596,55.033341771855746,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Low,Outsourced,8,10.497475023598568,11319.933333333334,9843.660211207896,20,28.702275472813596,36.57366829170612,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Low,Likely agency,1,2.4089790919619962,NA,NA,20,28.702275472813596,8.392989936438134,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Not low,Not outsourced,108,117.96790935427781,50010.07655913979,45587.275023981565,144,164.06799735920032,71.90184024493587,Administrative and support service activities,NA
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Not low,Outsourced,29,34.29309209875182,48633,38627.079122125004,144,164.06799735920032,20.901755766344028,Administrative and support service activities,NA
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Not low,Likely agency,3,6.724264606817701,64666.666666666664,42064.700000152545,144,164.06799735920032,4.0984620493026505,Administrative and support service activities,NA
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Not low,High indicators,4,5.082731299352995,36900,32100.731282350724,144,164.06799735920032,3.097941939417458,Administrative and support service activities,NA
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Low,Not outsourced,73,82.1827396909805,16237.400655737705,15655.645276267003,126,136.42771280469245,60.23903648420163,Administrative and support service activities,NA
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Low,Outsourced,40,43.32332872590373,14513.99393939394,13054.32228371164,126,136.42771280469245,31.755519340798934,Administrative and support service activities,NA
