SectorName,SectorName_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc,SectorName_short,SectorName_short_detail
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not outsourced,371,414.27198136775877,401.6058671584274,391.63031051714887,447,509.6650604686813,81.28318252516657,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Outsourced,76,95.39307910092253,389.4491498659171,361.4264716857512,447,509.6650604686813,18.716817474833437,Accommodation and food service activities,NA
2,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,Not outsourced,4,3.648241099552856,682.1669736034377,695.4303504559674,4,3.648241099552856,100,Activities of extraterritorial organisations and bodies,NA
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Not outsourced,16,20.90061177056152,365.426949048496,334.01698419223646,26,34.577680310329946,60.44538437217706,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Outsourced,10,13.677068539768424,256.5838674033149,207.0049045842403,26,34.577680310329946,39.55461562782293,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Not outsourced,174,194.79776866167427,557.2174106884556,544.6968088540146,259,292.60078882898216,66.57458766303213,Administrative and support service activities,NA
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Outsourced,85,97.80302016730789,440.74534467193877,444.00672609371446,259,292.60078882898216,33.42541233696787,Administrative and support service activities,NA
5,"AGRICULTURE, FORESTRY AND FISHING",Not outsourced,22,28.443990662744152,534.6249790724929,502.4895452025419,26,30.91333981585876,92.01202727423255,"Agriculture, forestry and fishing",NA
5,"AGRICULTURE, FORESTRY AND FISHING",Outsourced,4,2.4693491531146057,642.3237722529159,649.0846014926473,26,30.91333981585876,7.987972725767445,"Agriculture, forestry and fishing",NA
6,"ARTS, ENTERTAINMENT AND RECREATION",Not outsourced,136,133.61632551350448,462.8554158993247,456.41504860385163,158,158.42016679649217,84.34300267159111,"Arts, entertainment and recreation",NA
6,"ARTS, ENTERTAINMENT AND RECREATION",Outsourced,22,24.803841282987687,528.7411406886545,506.52468968978934,158,158.42016679649217,15.65699732840889,"Arts, entertainment and recreation",NA
